movie_id,year,rev_minus_cost
Sugar & Spice,2001,2276953.0
The Wedding Planner,2001,59728529.0
Head Over Heels,2001,-3575530.0
Hannibal,2001,264692268.0
Saving Silverman,2001,-2648431.0
Recess: School's Out,2001,34460850.0
Sweet November,2001,25754228.0
Monkeybone,2001,-69590483.0
3000 Miles to Graceland,2001,-43279825.0
The Mexican,2001,90845033.0
Eu Tu Eles,2000,170806.0
15 Minutes,2001,-3640020.0
Enemy at the Gates,2001,28976270.0
Exit Wounds,2001,29958599.0
Memento,2000,30723096.0
Spy Kids,2001,112934180.0
Tomcats,2001,12430766.0
The Tailor of Panama,2001,7008462.0
Amores perros,2000,18908467.0
Along Came a Spider,2001,45178561.0
Blow,2001,30282296.0
Pokémon 3: The Movie,2000,52411275.0
Brigham City,2001,-147794.0
Bridget Jones's Diary,2001,256929795.0
Joe Dirt,2001,13287695.0
Crocodile Dundee in Los Angeles,2001,18288674.0
Driven,2001,-39255262.0
Town & Country,2001,-79627709.0
The Mummy Returns,2001,335013274.0
A Knight's Tale,2001,52487473.0
Angel Eyes,2001,-23300000.0
Shrek,2001,424409218.0
Moulin Rouge!,2001,126713434.0
Pearl Harbor,2001,309220945.0
The Animal,2001,62772742.0
Evolution,2001,18376292.0
Swordfish,2001,45080413.0
Atlantis: The Lost Empire,2001,66053725.0
Lara Croft: Tomb Raider,2001,159703340.0
Dr. Dolittle 2,2001,106104344.0
The Fast and the Furious,2001,169283925.0
A.I. Artificial Intelligence,2001,135926552.0
Baby Boy,2001,13381649.0
Crazy/Beautiful,2001,3929123.0
Cats & Dogs,2001,33375151.0
Kiss of the Dragon,2001,39437847.0
Scary Movie 2,2001,96220678.0
Final Fantasy: The Spirits Within,2001,-51868170.0
Legally Blonde,2001,123774679.0
The Score,2001,3069884.0
Made,2001,476060.0
Camille Claudel 1915,2013,-3396594.0
Jurassic Park III,2001,275780809.0
Brother,2000,3250000.0
Planet of the Apes,2001,262211740.0
キュア,1997,79000.0
Jackpot,2001,-356281.0
Wet Hot American Summer,2001,-4704794.0
Original Sin,2001,-6597680.0
The Princess Diaries,2001,128335153.0
Rush Hour 2,2001,257325802.0
American Pie 2,2001,257553595.0
Osmosis Jones,2001,-61403089.0
American Outlaws,2001,-21321087.0
Session 9,2001,-1126033.0
Captain Corelli's Mandolin,2001,5112895.0
Rat Race,2001,37498534.0
Jay and Silent Bob Strike Back,2001,11788161.0
Ghosts of Mars,2001,-13989168.0
Summer Catch,2001,-14306109.0
Jeepers Creepers,2001,49217789.0
The Musketeer,2001,-12946185.0
Rock Star,2001,-40008098.0
L.I.E. Long Island Expressway,2001,967192.0
The Glass House,2001,-6380391.0
Hardball,2001,8222729.0
Big Trouble,2002,-31506110.0
Glitter,2001,-16728334.0
Training Day,2001,59876233.0
Sidewalks of New York,2001,1402459.0
